0;0
1;-18
2;-17
3;0.300000000000000
4;84
5;203
6;391
7;643
8;968
9;1333
10;1745
11;2101
12;2301
13;2403
14;2425
15;2412
16;2393
17;2299
18;2246
19;2203
20;2203
21;2203
22;2203
23;2203
24;2203
25;2203
